"time","x","y","z"
0,-13,-14,47
0.01,-12.9736989828431,-11.2544338766241,47.2275717281888
0.02,-12.7646474104569,-8.55449990527166,47.0875274489581
0.03,-12.3910703912573,-5.98010178641758,46.5955444436066
0.04,-11.8749626112802,-3.59840764950147,45.7894350357457
0.05,-11.2407893253577,-1.45895871885759,44.7222810225052
0.06,-10.5140442906406,0.408291913407385,43.4549594858857
0.07,-9.71986730712342,1.99225597221298,42.0492955448917
0.08,-8.88187643816766,3.29800977676187,40.5626940107333
0.09,-8.02130398788474,4.34300342603818,39.0446198952061
0.1,-7.15646054494758,5.15299828067621,37.5348748072354
0.11,-6.3025012157702,5.75833703797654,36.0633399667353
0.12,-5.47143785927396,6.1908935873008,34.6507403924613
0.13,-4.67232946447385,6.48182485494293,33.3099935515527
0.14,-3.91158494275987,6.66008897502066,32.0477869237766
0.15,-3.19332281758923,6.75160663272208,30.8661355934691
0.16,-2.51974570951037,6.77891098601864,29.7637717767228
0.17,-1.89150079602163,6.76113649125073,28.7372977341894
0.18,-1.30800875005588,6.71422061518846,27.7820881149138
0.19,-0.767752354294467,6.65122221425943,26.8929603027058
0.2,-0.268522095093417,6.58268883741843,26.0646472351336
0.21,0.192380038317278,6.51702886684184,25.2921120039896
0.22,0.617975070008017,6.46086230588402,24.5707418903621
0.23,1.01147531118712,6.41933658660643,23.8964546053915
0.24,1.37618152357701,6.39640200125536,23.2657434975622
0.25,1.71540425501893,6.39504636830248,22.6756825552276
0.26,2.03240502729911,6.41749130406802,22.1239067773784
0.27,2.33035355916026,6.46535375946821,21.6085791277163
0.28,2.61229772988083,6.53977686333232,21.1283518358969
0.29,2.88114348222315,6.64153397730692,20.682327169431
0.3,3.13964230417903,6.77110946521106,20.270020833763
0.31,3.39038430815658,6.92875916755519,19.8913297249356
0.32,3.63579524416322,7.11455304037487,19.5465047296697
0.33,3.87813604484538,7.32840191586542,19.2361285311756
0.34,4.11950371174874,7.57006989555447,18.9610978451699
0.35,4.36183252141379,7.839173507228,18.7226091074942
0.36,4.60689466458123,8.13516845180792,18.5221463066578
0.37,4.85629953946399,8.45732454306301,18.3614693595797
0.38,5.11149100842109,8.80468931168762,18.2426011368744
0.39,5.37374200445716,9.17604072114895,18.1678109365292
0.4,5.64414594847026,9.56982954697148,18.139591874447
0.41,5.92360451983474,9.98411223096456,18.1606293124665
0.42,6.21281142284148,10.4164754693683,18.2337570996031
0.43,6.51223192234743,10.8639544632731,18.3618980992977
0.44,6.82207809773829,11.322947682566,18.5479852757363
0.45,7.14227999989385,11.7891321921303,18.7948596032685
0.46,7.47245320591079,12.2573850599543,19.1051413604607
0.47,7.81186366326507,12.7217180721483,19.4810721173726
0.48,8.15939120594193,13.1752348230219,19.9243260838003
0.49,8.51349370728838,13.6101210535626,20.4357916222216
0.5,8.87217449040972,14.0176806041452,21.0153267781911
0.51,9.23295630817285,14.3884301425875,21.6614967038683
0.52,9.59286586564811,14.7122654405733,22.3713057706566
0.53,9.94843339158816,14.9787098520143,23.1399426986914
0.54,10.2957120453896,15.1772512699606,23.9605626119202
0.55,10.6303218224507,15.2977668342661,24.8241346814044
0.56,10.9475219399218,15.3310249950499,25.7193867805654
0.57,11.2423143176109,15.2692427009374,26.63287801193
0.58,11.5095786512388,15.106662654898,27.5492248200965
0.59,11.7442367523875,14.8401036675131,28.4514958587987
0.6,11.9414404929634,14.4694286071125,29.3217748557847
0.61,12.0967741958425,13.9978719267266,30.1418706392422
0.62,12.2064591531351,13.4321743926471,30.894131806055
0.63,12.2675456994851,12.7824873935279,31.5623038805297
0.64,12.2780774560612,12.0620322005796,32.1323533395747
0.65,12.2372133622634,11.2865278693477,32.593179140951
0.66,12.1452960146356,10.4734305340325,32.9371403652107
0.67,12.003859376233,9.64105132723729,33.160347878041
0.68,11.815574515074,8.80763532002625,33.2626956099216
0.69,11.5841378637928,7.99048681749481,33.2476382536302
0.7,11.3141116967108,7.20521678043835,33.1217512574566
0.71,11.0107303596344,6.4651684293912,32.8941309638817
0.72,10.6796878060649,5.78105148614257,32.5757044665064
0.73,10.3269220859487,5.16078899100284,32.1785194935921
0.74,9.95841082553541,4.60955763775363,31.7150758911696
0.75,9.57998889434751,4.12998608880467,31.1977451262471
0.76,9.1971959526276,3.72246696367482,30.638306282527
0.77,8.81515796842708,3.38553668560341,30.0476095740439
0.78,8.43850353604036,3.11628154276816,29.4353638397905
0.79,8.07131320713441,2.91073608446386,28.8100340599784
0.8,7.71709819101853,2.76424928065992,28.1788288784354
0.81,7.37880368448289,2.67180307688563,27.5477559087153
0.82,7.05883165547422,2.62827597967402,26.9217233225649
0.83,6.75907798110066,2.62865055748002,26.3046688393781
0.84,6.48097926972619,2.66816811812025,25.6997008226493
0.85,6.22556533323686,2.74243649480599,25.1092400184468
0.86,5.99351400007487,2.84749815868388,24.5351540507528
0.87,5.78520568519756,2.97986614198164,23.9788798415532
0.88,5.60077580268228,3.13653484478316,23.4415315385563
0.89,5.44016368833818,3.31497199363074,22.9239933129556
0.9,5.30315718040778,3.51309703462908,22.4269976033017
0.91,5.18943238619743,3.72925022368387,21.9511901297928
0.92,5.09858844913069,3.96215571241234,21.4971833928679
0.93,5.03017733619818,4.21088106842064,21.0656004991482
0.94,4.98372880340361,4.47479493207284,20.6571111089879
0.95,4.95877077959208,4.75352389900935,20.2724611375163
0.96,4.95484544876492,5.0469092184998,19.9124976120869
0.97,4.97152131774276,5.35496349754004,19.5781898252959
0.98,5.0084015382245,5.67782728387441,19.2706476436835
0.99,5.06512871671219,6.01572515384349,18.9911375477857
1,5.14138639793339,6.36892074213346,18.7410966922304
1.01,5.23689735180589,6.73767001303319,18.5221449830723
1.02,5.35141873453515,7.12217198404847,18.3360948685005
1.03,5.48473413471482,7.52251607495082,18.1849582220268
1.04,5.63664245900979,7.93862527614888,18.0709493580916
1.05,5.8069435632895,8.37019442296196,17.9964828544685
1.06,5.99542049891823,8.81662304621011,17.9641644636835
1.07,6.20181822644227,9.27694256968628,17.9767729831648
1.08,6.42581865775411,9.74973807196812,18.0372305369742
1.09,6.66701193225329,10.233065457606,18.1485583301288
1.1,6.92486392354904,10.7243657250777,18.3138146168471
1.11,7.19868012325996,11.2203791044872,18.5360114457611
1.12,7.48756627050638,11.7170631807273,18.8180068030747
1.13,7.79038640201967,12.2095207043934,19.1623691905734
1.14,8.10571939753958,12.6919445659375,19.57121259476
1.15,8.43181559092147,13.1575892474887,20.0460013847799
1.16,8.76655560059797,13.5987797664153,20.5873270704967
1.17,9.10741417854834,14.00697037955,21.1946621647505
1.18,9.45143253697339,14.3728657167772,21.8661006376937
1.19,9.79520321105215,14.6866160608394,22.5980994798053
1.2,10.1348719490488,14.9380956573749,23.3852413300435
1.21,10.4661612551247,15.1172677619107,24.2200433193507
1.22,10.7844198969151,15.2146323576433,25.0928412699846
1.23,11.0847017861299,15.2217422511332,25.9917799766468
1.24,11.3618760409302,15.1317612860506,26.9029381911578
1.25,11.6107677169567,14.9400261085725,27.8106100468652
1.26,11.8263257427891,14.6445623343025,28.6977524637391
1.27,12.0038112581184,14.2464995920154,29.5465909915597
1.28,12.1389962249752,13.7503301880174,30.3393562232878
1.29,12.2283593773635,13.163964768727,31.0591022287531
1.3,12.2692648434191,12.4985556845438,31.6905411788741
1.31,12.2601085900366,11.7680832321276,32.2208183299072
1.32,12.2004194735128,10.9887281370481,32.640151810561
1.33,12.0909051005405,10.1780807546547,32.9422733584343
1.34,11.9334375436862,9.35425845321924,33.1246280398088
1.35,11.7309795560876,8.53501344006629,33.1883194998528
1.36,11.487457469972,7.73691192572596,33.1378173454896
1.37,11.2075916314212,6.97465261891442,32.9804695137756
1.38,10.896698389488,6.26057109074322,32.7258806373364
1.39,10.5604789920647,5.60435099559592,32.3852252115192
1.4,10.2048102540534,5.01293821160574,31.9705618478969
1.41,9.83554986061674,4.49063354358105,31.4942040964062
1.42,9.45836614586146,4.03932604375653,30.9681874435397
1.43,9.07859870595752,3.65882285536427,30.4038546035182
1.44,8.70115277733316,3.34723193447097,29.8115650431007
1.45,8.3304273219932,3.10135932434384,29.2005217727069
1.46,7.9702744430983,2.91709080414017,28.578699674593
1.47,7.62398618470002,2.78973683538479,27.9528549882669
1.48,7.29430391202217,2.71432835710127,27.3285943872382
1.49,6.98344520933427,2.68585824452459,26.7104834187973
1.5,6.69314342268987,2.69946875229034,26.1021769643397
1.51,6.42469546294665,2.7505889909277,25.5065579691582
1.52,6.1790141366166,2.83502865097887,24.925874356394
1.53,5.95668198235494,2.94903511996098,24.3618673711455
1.54,5.7580042838978,3.08932118297224,23.8158873813237
1.55,5.58305955836878,3.25306997285207,23.2889953203203
1.56,5.43174635696084,3.43792299405484,22.7820495170799
1.57,5.30382565446372,3.6419560719759,22.2957786993944
1.58,5.19895844736257,3.86364710110271,21.8308425759291
1.59,5.11673843618848,4.10183855595173,21.3878817028171
1.6,5.05671984849293,4.35569692630312,20.9675584122086
1.61,5.01844057712058,4.62467055568569,20.5705904974861
1.62,5.00144087666695,4.90844679680629,20.1977791701487
1.63,5.00527789010577,5.20690893871774,19.850032567625
1.64,5.02953627690693,5.52009299367197,19.5283858266562
1.65,5.0738351912789,5.84814414242641,19.234018459397
1.66,5.13783182076007,6.19127241286587,18.9682694865195
1.67,5.22122164639203,6.54970699900956,18.732650494719
1.68,5.3237355304456,6.92364851065529,18.528856492332
1.69,5.44513367995862,7.31321837748643,18.3587741311513
1.7,5.58519647787824,7.71840461983493,18.2244865391089
1.71,5.74371212230271,8.13900325123315,18.1282736623742
1.72,5.92046097269974,8.57455471084515,18.0726066444661
1.73,6.11519647549017,9.02427495805981,18.0601343771064
1.74,6.32762253672963,9.48698122358597,18.0936599534043
1.75,6.55736723500524,9.9610129322172,18.1761043603338
1.76,6.80395283291005,10.4441490247623,18.3104544010757
1.77,7.06676216188204,10.9335238406603,18.4996915945336
1.78,7.34500163510956,11.4255448991563,18.7466987380446
1.79,7.63766139887805,11.9158173363801,19.0541410441673
1.8,7.9434734745802,12.3990813850866,19.424319402185
1.81,8.26086917745509,12.869171038639,19.8589945164832
1.82,8.58793762135722,13.3190037656021,20.3591825871741
1.83,8.92238771559597,13.7406125918378,20.9249259493804
1.84,9.26151669543128,14.1252326996414,21.5550457376734
1.85,9.60218884327703,14.4634544711106,22.2468881325463
1.86,9.94082856624516,14.7454531280988,22.9960808334315
1.87,10.2734322826464,14.9613013075275,23.7963215989245
1.88,10.595603499207,15.1013647001814,24.6392252275243
1.89,10.9026148895973,15.1567722002693,25.5142581812536
1.9,11.1894999904197,15.1199412495768,26.4087899712346
1.91,11.4511752447717,14.9851272095859,27.3082862577832
1.92,11.6825905722342,14.7489543137949,28.1966595453041
1.93,11.8789035840625,14.4108772418034,29.0567792690866
1.94,12.0356692978379,13.9735190277245,29.8711249203487
1.95,12.1490341757133,13.4428349439034,30.6225457871939
1.96,12.2159210338728,12.8280642694485,31.2950721093275
1.97,12.2341903539715,12.1414519698953,31.8747086910827
1.98,12.2027641458214,11.3977479410663,32.3501367109616
1.99,12.1217008983329,10.6135186473056,32.7132547446086
2,11.9922141350313,9.8063298958117,32.9595059672113
2.01,11.8166321729282,8.99387560329542,33.0879628836483
2.02,11.5983021514764,8.19313265811532,33.1011695852446
2.03,11.3414464499879,7.4196155675082,33.0047693419465
2.04,11.0509835308985,6.68678816175172,32.8069675249537
2.05,10.7323275470828,6.00566678655656,32.5178930989516
2.06,10.3911815610121,5.3846246437752,32.1489250247065
2.07,10.0333380823016,4.82938449747898,31.7120438018699
2.08,9.66449822174519,4.34316996189174,31.2192555739568
2.09,9.29011759898054,3.92697554524748,30.6821199684384
2.1,8.91528375501482,3.57991249131593,30.1113963064777
2.11,8.54462665580562,3.29959002196433,29.5168084235927
2.12,8.18226123826309,3.08249800939573,28.9069175287767
2.13,7.83175900442023,2.92436547554623,28.2890857500024
2.14,7.49614443975385,2.82047799481281,27.6695099652306
2.15,7.17791144784548,2.76594490790896,27.0533054402131
2.16,6.87905492986004,2.75591358829918,26.4446207555599
2.17,6.60111294758778,2.78573261641912,25.8467686135954
2.18,6.3452154529441,2.8510686926765,25.2623606418468
2.19,6.11213622643755,2.94798371542308,24.6934377362787
2.2,5.90234535208446,3.07297899195287,24.1415904983559
2.21,5.71606020488564,3.223013363327,23.6080667668305
2.22,5.5532935023257,3.39550138697521,23.0938650984397
2.23,5.41389745577111,3.58829685228377,22.5998143569096
2.24,5.29760344723763,3.79966595877288,22.1266404109419
2.25,5.20405695669432,4.02825356446324,21.6750214161716
2.26,5.13284768472394,4.27304507130567,21.2456333568881
2.27,5.08353496693499,4.53332578198105,20.8391875316223
2.28,5.05566867224799,4.80863894451161,20.4564615475734
2.29,5.04880582844692,5.09874319240709,20.0983251910447
2.3,5.06252323520562,5.40356967687947,19.7657622986785
2.31,5.09642631562849,5.72317886044546,19.4598894891337
2.32,5.15015442917444,6.05771668521034,19.1819723390576
2.33,5.22338282738684,6.40736963395243,18.9334393056009
2.34,5.31582138388863,6.77231806096456,18.7158934100707
2.35,5.4272101757297,7.152687079787,18.5311214001275
2.36,5.5573119382041,7.54849425847937,18.3810997962281
2.37,5.70590136354524,7.95959339698434,18.2679968969328
2.38,5.87275116971488,8.3856137578747,18.1941694642854
2.39,6.05761483382629,8.82589430933321,18.1621524356915
2.4,6.26020587164692,9.27941284094394,18.1746396199285
2.41,6.48017355750712,9.74471025668428,18.2344529488377
2.42,6.71707502668759,10.2198109660175,18.344497502492
2.43,6.97034379532816,10.7021411130646,18.5076992505812
2.44,7.23925488259004,11.1884474289184,18.7269223233662
2.45,7.52288693806101,11.6747207716472,19.004862732163
2.46,7.82008207498482,12.1561299137948,19.343915916224
2.47,8.12940449424621,12.6269727871382,19.7460164343495
2.48,8.44909945598539,13.08065407773,20.2124496889413
2.49,8.77705470523686,13.5096995811794,20.7436378989108
2.5,9.11076705917663,13.9058187876504,21.3389057116819
2.51,9.44731746936375,14.2600273843569,21.9962348565193
2.52,9.78335841028493,14.5628402843108,22.7120219336242
2.53,10.1151178160525,14.8045429380092,23.480858436441
